PASSENGERS,Passenger Miles,CARRIER_NAME-ORIGIN_CITY_NAME-DEST_CITY_NAME,CARRIER_NAME,ORIGIN_CITY_NAME,DEST_CITY_NAME,ORIGIN_LATITUDE,ORIGIN_LONGITUDE,DEST_LATITUDE,DEST_LONGITUDE
320993,769741214,"United Air Lines Inc.-Honolulu, HI-San Francisco, CA Total Total",United Air Lines Inc.,"Honolulu, HI","San Francisco, CA",21.304547,-157.855676,37.7792588,-122.4193286
320511,161114957,"Delta Air Lines Inc.-New York, NY-Detroit, MI Total Total",Delta Air Lines Inc.,"New York, NY","Detroit, MI",40.7127281,-74.0060152,42.3315509,-83.0466403
320210,114314970,"Air Canada-New York, NY-Toronto, Canada Total Total",Air Canada,"New York, NY","Toronto, Canada",40.7127281,-74.0060152,43.6534817,-79.3839347
320165,513864825,"United Air Lines Inc.-Denver, CO-Newark, NJ Total Total",United Air Lines Inc.,"Denver, CO","Newark, NJ",39.7392364,-104.984862,40.735657,-74.1723667
319436,1223311949,"Japan Air Lines Co. Ltd.-Tokyo, Japan-Honolulu, HI Total Total",Japan Air Lines Co. Ltd.,"Tokyo, Japan","Honolulu, HI",35.6768601,139.7638947,21.304547,-157.855676
318879,511800795,"United Air Lines Inc.-Newark, NJ-Denver, CO Total Total",United Air Lines Inc.,"Newark, NJ","Denver, CO",40.735657,-74.1723667,39.7392364,-104.984862
317958,505235262,"Delta Air Lines Inc.-Minneapolis, MN-San Francisco, CA Total Total",Delta Air Lines Inc.,"Minneapolis, MN","San Francisco, CA",44.9772995,-93.2654692,37.7792588,-122.4193286
316953,70680519,"Southwest Airlines Co.-Las Vegas, NV-Burbank, CA Total Total",Southwest Airlines Co.,"Las Vegas, NV","Burbank, CA",36.1674263,-115.1484131,34.1812089,-118.307201
316851,272175009,"Delta Air Lines Inc.-Hartford, CT-Atlanta, GA Total Total",Delta Air Lines Inc.,"Hartford, CT","Atlanta, GA",41.764582,-72.6908547,33.7544657,-84.3898151
316816,103598832,"Southwest Airlines Co.-Providence, RI-Baltimore, MD Total Total",Southwest Airlines Co.,"Providence, RI","Baltimore, MD",41.8239891,-71.4128343,39.2908816,-76.610759
316587,505906026,"JetBlue Airways-San Juan, PR-New York, NY Total Total",JetBlue Airways,"San Juan, PR","New York, NY",18.384239,-66.05344,40.7127281,-74.0060152
316509,193689156,"American Airlines Inc.-Chicago, IL-Washington, DC Total Total",American Airlines Inc.,"Chicago, IL","Washington, DC",41.8755616,-87.6244212,38.8950368,-77.0365427
316253,211573257,"Delta Air Lines Inc.-Milwaukee, WI-Atlanta, GA Total Total",Delta Air Lines Inc.,"Milwaukee, WI","Atlanta, GA",43.0386475,-87.9090751,33.7544657,-84.3898151
314474,270133166,"Delta Air Lines Inc.-Atlanta, GA-Hartford, CT Total Total",Delta Air Lines Inc.,"Atlanta, GA","Hartford, CT",33.7544657,-84.3898151,41.764582,-72.6908547
313348,116252108,"Southwest Airlines Co.-Santa Ana, CA-Oakland, CA Total Total",Southwest Airlines Co.,"Santa Ana, CA","Oakland, CA",33.7494951,-117.873221,37.8044557,-122.271356
311524,69469852,"Southwest Airlines Co.-Burbank, CA-Las Vegas, NV Total Total",Southwest Airlines Co.,"Burbank, CA","Las Vegas, NV",34.1812089,-118.307201,36.1674263,-115.1484131
